Date,Price
2018-08-21,2833.0
2018-08-22,3104.0
2018-08-23,3145.0
2018-08-24,3094.0
2018-08-25,3052.0
2018-08-26,3158.0
2018-08-27,3206.0
2018-08-28,3081.0
2018-08-29,3177.0
2018-08-30,3191.0
2018-08-31,3438.0
2018-09-01,3577.0
2018-09-02,3508.0
2018-09-03,3283.0
2018-09-04,3351.0
2018-09-05,3467.0
2018-09-06,3401.0
2018-09-07,3290.0
2018-09-08,3308.0
2018-09-09,3589.0
2018-09-10,3669.0
2018-09-11,3659.0
2018-09-12,3715.0
2018-09-13,3965.0
2018-09-14,4200.0
2018-09-15,4085.0
2018-09-16,4088.0
2018-09-17,4281.0
2018-09-18,4105.0
2018-09-19,3884.0
2018-09-20,3992.0
2018-09-21,3787.0
2018-09-22,3719.0
2018-09-23,3985.0
2018-09-24,3703.0
2018-09-25,3505.0
2018-09-26,3739.0
2018-09-27,3993.0
2018-09-28,3990.0
2018-09-29,3952.0
2018-09-30,4084.0
2018-10-01,3998.0
2018-10-02,4248.0
2018-10-03,4324.0
2018-10-04,4405.0
2018-10-05,4257.0
2018-10-06,4289.0
2018-10-07,4159.0
2018-10-08,4113.0
2018-10-09,4021.0
2018-10-10,4099.0
2018-10-11,3837.0
2018-10-12,3807.0
2018-10-13,3519.0
2018-10-14,3593.0
2018-10-15,3797.0
2018-10-16,3552.0
2018-10-17,3479.0
2018-10-18,3484.0
2018-10-19,3613.0
2018-10-20,3658.0
2018-10-21,3850.0
2018-10-22,3929.0
2018-10-23,3618.0
2018-10-24,3746.0
2018-10-25,3885.0
2018-10-26,4075.0
2018-10-27,4100.0
2018-10-28,3978.0
2018-10-29,4082.0
2018-10-30,4001.0
2018-10-31,3980.0
2018-11-01,3948.0
2018-11-02,3844.0
2018-11-03,3562.0
2018-11-04,3591.0
2018-11-05,3050.0
2018-11-06,3247.0
2018-11-07,3303.0
2018-11-08,3221.0
2018-11-09,3010.0
2018-11-10,3081.0
2018-11-11,3217.0
2018-11-12,3074.0
2018-11-13,3327.0
2018-11-14,3376.0
2018-11-15,3261.0
2018-11-16,2823.0
2018-11-17,2933.0
2018-11-18,3173.0
2018-11-19,3218.0
2018-11-20,3049.0
2018-11-21,3190.0
2018-11-22,3136.0
2018-11-23,3095.0
2018-11-24,3294.0
2018-11-25,3238.0
2018-11-26,2981.0
2018-11-27,2762.0
2018-11-28,2778.0
2018-11-29,3050.0
2018-11-30,3084.0
2018-12-01,3183.0
2018-12-02,3289.0
2018-12-03,3400.0
2018-12-04,3322.0
2018-12-05,3336.0
2018-12-06,3190.0
2018-12-07,3481.0
2018-12-08,3380.0
2018-12-09,3582.0
2018-12-10,3913.0
2018-12-11,4144.0
2018-12-12,4243.0
2018-12-13,4261.0
2018-12-14,4319.0
2018-12-15,4292.0
2018-12-16,4430.0
2018-12-17,4525.0
2018-12-18,4301.0
2018-12-19,4242.0
2018-12-20,4505.0
2018-12-21,4355.0
2018-12-22,4508.0
2018-12-23,4515.0
2018-12-24,4286.0
2018-12-25,4187.0
2018-12-26,3996.0
2018-12-27,4089.0
2018-12-28,4093.0
2018-12-29,4354.0
2018-12-30,4443.0
2018-12-31,4548.0
2019-01-01,5071.0
2019-01-02,5084.0
2019-01-03,5054.0
2019-01-04,5044.0
2019-01-05,4247.0
2019-01-06,4082.0
2019-01-07,4158.0
2019-01-08,4134.0
2019-01-09,4192.0
2019-01-10,4364.0
2019-01-11,4280.0
2019-01-12,4519.0
2019-01-13,4726.0
2019-01-14,4669.0
2019-01-15,4469.0
2019-01-16,4686.0
2019-01-17,4924.0
2019-01-18,4686.0
2019-01-19,4703.0
2019-01-20,4573.0
2019-01-21,4350.0
2019-01-22,4147.0
2019-01-23,3977.0
2019-01-24,3805.0
2019-01-25,3439.0
2019-01-26,3464.0
2019-01-27,3675.0
2019-01-28,3750.0
2019-01-29,3572.0
2019-01-30,3540.0
2019-01-31,4054.0
2019-02-01,4173.0
2019-02-02,4274.0
2019-02-03,4318.0
2019-02-04,4222.0
2019-02-05,4015.0
2019-02-06,3841.0
2019-02-07,4050.0
2019-02-08,3997.0
2019-02-09,3747.0
2019-02-10,3755.0
2019-02-11,3902.0
2019-02-12,3831.0
2019-02-13,4192.0
2019-02-14,4278.0
2019-02-15,4281.0
2019-02-16,4173.0
2019-02-17,4001.0
2019-02-18,3992.0
2019-02-19,4017.0
2019-02-20,4137.0
2019-02-21,3973.0
2019-02-22,4210.0
2019-02-23,4456.0
2019-02-24,4104.0
2019-02-25,4177.0
2019-02-26,4475.0
2019-02-27,4858.0
2019-02-28,4661.0
2019-03-01,4524.0
2019-03-02,4541.0
2019-03-03,4622.0
2019-03-04,4209.0
2019-03-05,4262.0
2019-03-06,4102.0
2019-03-07,3947.0
2019-03-08,4504.0
2019-03-09,4136.0
2019-03-10,4276.0
2019-03-11,4351.0
2019-03-12,4370.0
2019-03-13,3885.0
2019-03-14,3741.0
2019-03-15,3831.0
2019-03-16,3981.0
2019-03-17,3821.0
2019-03-18,3847.0
2019-03-19,4174.0
2019-03-20,4535.0
2019-03-21,4759.0
2019-03-22,4640.0
2019-03-23,4404.0
2019-03-24,4339.0
2019-03-25,4373.0
2019-03-26,4348.0
2019-03-27,4366.0
2019-03-28,4382.0
2019-03-29,4090.0
2019-03-30,3757.0
2019-03-31,3982.0
2019-04-01,4094.0
2019-04-02,4226.0
2019-04-03,3884.0
2019-04-04,4074.0
2019-04-05,4287.0
2019-04-06,4065.0
2019-04-07,3904.0
2019-04-08,3885.0
2019-04-09,3670.0
2019-04-10,3822.0
2019-04-11,3697.0
2019-04-12,3774.0
2019-04-13,3819.0
2019-04-14,3727.0
2019-04-15,3519.0
2019-04-16,3379.0
2019-04-17,3360.0
2019-04-18,3136.0
2019-04-19,3170.0
2019-04-20,3086.0
2019-04-21,3110.0
2019-04-22,3262.0
2019-04-23,3636.0
2019-04-24,3693.0
2019-04-25,3807.0
2019-04-26,3674.0
2019-04-27,3662.0
2019-04-28,4068.0
2019-04-29,4216.0
2019-04-30,4186.0
2019-05-01,4357.0
2019-05-02,4312.0
2019-05-03,4872.0
2019-05-04,5084.0
2019-05-05,5617.0
2019-05-06,5705.0
2019-05-07,5989.0
2019-05-08,6280.0
2019-05-09,7040.0
2019-05-10,7325.0
2019-05-11,7667.0
2019-05-12,7752.0
2019-05-13,7903.0
2019-05-14,7609.0
2019-05-15,6930.0
2019-05-16,7159.0
2019-05-17,7517.0
2019-05-18,7059.0
2019-05-19,6950.0
2019-05-20,7067.0
2019-05-21,7255.0
2019-05-22,6901.0
2019-05-23,6867.0
2019-05-24,6844.0
2019-05-25,5993.0
2019-05-26,6226.0
2019-05-27,5771.0
2019-05-28,5747.0
2019-05-29,6217.0
2019-05-30,6280.0
2019-05-31,5901.0
2019-06-01,6110.0
2019-06-02,5710.0
2019-06-03,5826.0
2019-06-04,6295.0
2019-06-05,6685.0
2019-06-06,6415.0
2019-06-07,6888.0
2019-06-08,7126.0
2019-06-09,7670.0
2019-06-10,7647.0
2019-06-11,7470.0
2019-06-12,8028.0
2019-06-13,8185.0
2019-06-14,7502.0
2019-06-15,7309.0
2019-06-16,7601.0
2019-06-17,7072.0
2019-06-18,7091.0
2019-06-19,7118.0
2019-06-20,6500.0
2019-06-21,6409.0
2019-06-22,6420.0
2019-06-23,6340.0
2019-06-24,6078.0
2019-06-25,6130.0
2019-06-26,6203.0
2019-06-27,6078.0
2019-06-28,6274.0
2019-06-29,6809.0
2019-06-30,6657.0
2019-07-01,6757.0
2019-07-02,6871.0
2019-07-03,6519.0
2019-07-04,6099.0
2019-07-05,6029.0
2019-07-06,6088.0
2019-07-07,6265.0
2019-07-08,6470.0
2019-07-09,6555.0
2019-07-10,6630.0
2019-07-11,6348.0
2019-07-12,6404.0
2019-07-13,6661.0
2019-07-14,7197.0
2019-07-15,7124.0
2019-07-16,7478.0
2019-07-17,7567.0
2019-07-18,8249.0
2019-07-19,8509.0
2019-07-20,8562.0
2019-07-21,8969.0
2019-07-22,8984.0
2019-07-23,8761.0
2019-07-24,8526.0
2019-07-25,8611.0
2019-07-26,8490.0
2019-07-27,7902.0
2019-07-28,7874.0
2019-07-29,7530.0
2019-07-30,7256.0
2019-07-31,6758.0
2019-08-01,5955.0
2019-08-02,6125.0
2019-08-03,6347.0
2019-08-04,6031.0
2019-08-05,6089.0
2019-08-06,6322.0
2019-08-07,6474.0
2019-08-08,6545.0
2019-08-09,6653.0
2019-08-10,6504.0
2019-08-11,7319.0
2019-08-12,7373.0
2019-08-13,6783.0
2019-08-14,6517.0
2019-08-15,6406.0
2019-08-16,5799.0
2019-08-17,6177.0
2019-08-18,6098.0
2019-08-19,5907.0
2019-08-20,6090.0
2019-08-21,6371.0
2019-08-22,6343.0
2019-08-23,6059.0
2019-08-24,6031.0
2019-08-25,6762.0
2019-08-26,6902.0
2019-08-27,7183.0
2019-08-28,7684.0
2019-08-29,7480.0
2019-08-30,7461.0
2019-08-31,7429.0
2019-09-01,7301.0
2019-09-02,7296.0
2019-09-03,7162.0
2019-09-04,6933.0
2019-09-05,6434.0
2019-09-06,6066.0
2019-09-07,5676.0
2019-09-08,5479.0
2019-09-09,5444.0
2019-09-10,5506.0
2019-09-11,5586.0
2019-09-12,5729.0
2019-09-13,6165.0
2019-09-14,6114.0
2019-09-15,6494.0
2019-09-16,6823.0
2019-09-17,6771.0
